Course,Distribs,Quality,Reviews
CLST022: Greek Archaeology: The Classical Period,"ART, W",5.0,15.0
CLST024: The Birth of Rome,"SOC, W",7.0,10.0
CLST025: Early Roman Imperial Archaeology: The First Emperors,"ART, W",5.0,17.0
CLST026: Later Roman Imperial Archaeology: The Golden Age and Beyond,"ART, W",3.0,6.0
COCO001.03: Fashion and Identity: The Power of Clothing,"W, ART",3.0,1.0
COCO002: Seeing Nature: How Aristotle and Darwin Understood Nature and Human Society,,3.0,22.0
COCO005: Visualizing American Cities: Creating Modern Identities,,1.0,6.0
"COCO006: Autism: Science, Story, and Experience",CI,2.0,8.0
"COCO015: Introduction to Public Health: An Experiential Approach to Individual, Community, and Population-Based Health",,2.0,5.0
COCO025: Crisis and Strategy in American Foreign Policy,"INT, SOC",0.0,1.0
COCO036: Alaska: American Dreams and Native Realities,"SOC, CI",0.0,1.0
COGS001: Introduction to Cognitive Science,SOC,12.0,11.0
COGS002: Cognition,SOC,6.0,79.0
"COGS011.03: Mind, Language, and Morality",TMV,3.0,1.0
COGS025: Philosophy of Cognitive Science,TAS,4.0,2.0
COGS044: Artificial Intelligence,TAS,3.0,5.0
COGS050.04: Theories of Consciousness,TMV,1.0,1.0
COGS080: Major Seminar in Cognitive Science,,6.0,2.0
COLT001: Read the World,"INT, LIT, CI",50.0,21.0
COLT007.13: Dreams Literature and Film,"LIT, W",1.0,1.0
COLT007.15: Carnivals,LIT,0.0,1.0
COLT007.16: From Letters to Email,"LIT, W",1.0,2.0
COLT007.17: Literature and Urban Spaces,"W, LIT, INT",1.0,1.0
COLT007.19: Intertextuality,"CI, LIT",2.0,6.0
COLT007: First Year Seminars,,6.0,47.0
COLT010.07: Characters on the Verge of a Nervous Breakdown,"LIT, W",1.0,2.0
COLT010.16: Flashes of Recognition in Modernist Literature,"LIT, W",2.0,2.0
COLT010: What is Comparative Literature?,,6.0,42.0
COLT018: Literature and Other Media,,2.0,1.0
COLT019: Translation: Theory and Practice,,6.0,12.0
COLT021: Topics in Medieval Literatures,,3.0,2.0
COLT022: The Renaissance,,1.0,1.0
COLT023: Topics in Early Modern Literatures,,2.0,4.0
COLT027: Topics in Nineteenth-Century Literatures,,1.0,2.0
COLT028: Modernism,,1.0,2.0
COLT029: Postmodernism,,2.0,5.0
COLT031: Topics in Poetry,,2.0,1.0
COLT033: Modern Drama,,7.0,28.0
COLT034.01: Theater of Ideas: Britain and France,"LIT, W",4.0,2.0
COLT035: History of Narrative,,1.0,2.0
COLT039.02: Literary Fairy Tale,"LIT, W",1.0,1.0
"COLT039.04: The Case Study: Crime, Medicine, and Modern Society","W, LIT",1.0,2.0
COLT039: Topics in Narrative,,1.0,5.0
COLT040.01: History of the Book,"LIT, W",4.0,1.0
COLT041: The Comic Tradition,,1.0,3.0
"COLT042.01: Prada, Chanel, Ferrari: History and Literature","INT, LIT, CI",6.0,7.0
"COLT042.03: Robbers, Pirates, and Terrorists: Forms of Individual Resistance in Literature and Film","LIT, W",1.0,2.0
COLT045: The Quest for Utopia,"INT, W",1.0,3.0
"COLT046: Psychology, Society and Literature: The Family",,2.0,5.0
COLT047: Myths and Transformations,,1.0,3.0
COLT049: Special Topics: Themes,,2.0,11.0
COLT050: Europe and its Cultural Others,,1.0,1.0
COLT052: Latin American Literatures,,1.0,6.0
COLT054: Jewish Literatures,,1.0,3.0
COLT055: Asian Literatures,,1.0,4.0
COLT057.07: Memories from the Dark Side: Political and Historical Repression in Europe,"CI, LIT",-1.0,1.0
COLT057.09: How to Be a Fascist,"INT, W",1.0,1.0
COLT060: Literature and Music,,1.0,1.0
COLT061: Literature and the Visual Arts,,1.0,1.0
"COLT062.03: Zombies, Cyborgs, and Clones in Dystopian Fiction and Film","INT, LIT",2.0,1.0
COLT062: Literature and Film,,3.0,16.0
COLT063: Literature and Politics,,2.0,4.0
"COLT064.01: Nazis, Neonazis, Antifa and the Others: Exploring Responses to the Nazi Past","LIT, CI",5.0,2.0
COLT064.04: The Sixties,"LIT, W",0.0,1.0
COLT064: Literature and History,,1.0,10.0
COLT070.05: Environmental Imagination: Ecological Narratives for the Anthropocene,"W, LIT",1.0,1.0
COLT072.01: Global Literary and Cultural Theory,"LIT, CI",2.0,1.0
COLT072: Contemporary Literary Criticism and Theory,"LIT, W",1.0,10.0
COLT100: Contemporary Literary Criticism and Theory,,0.0,1.0
COLT102: Tutorial,,1.0,1.0
COLT105: Graduate Seminar,,0.0,1.0
COSC001: Introduction to Programming and Computation,TLA,656.0,232.0
COSC002: Programming for Interactive Audio-Visual Arts,TLA,4.0,7.0
COSC010: Problem Solving via Object-Oriented Programming,TLA,165.0,63.0
COSC011: Foundations of Applied Computer Science,QDS,-6.0,5.0
COSC016: Introduction to Computational Neuroscience,SCI,6.0,6.0
"COSC020: Motion Study: Using Motion Analysis for Science, Art and Medicine",,1.0,5.0
COSC021: Foundations of Digital Design,ART,6.0,2.0
COSC022: 3D Digital Modeling,TLA,18.0,14.0
COSC023.01: Augmented and Virtual Reality Design,TAS,1.0,1.0
COSC024: Computer Animation: The State of the Art,ART,9.0,13.0
COSC025.01: Intro to UI/UX Design I,ART,10.0,4.0
COSC027: Projects in Digital Arts,ART,3.0,13.0
COSC029.04: Impact Design,TMV,2.0,1.0
COSC030: Discrete Mathematics in Computer Science,QDS,35.0,61.0
COSC031: Algorithms,QDS,19.0,35.0
COSC035: Data Stream Algorithms,,0.0,1.0
COSC039: Theory of Computation,QDS,2.0,15.0
COSC049.09: Introduction to Computational Topology,,0.0,2.0
COSC049.10: Randomized Algorithms,TAS,2.0,1.0
